word,pos,synonym
หัว,n,กบาล|กระบาล|พระเจ้า|มัตถกะ|มัสดก|มุทธา|มุรธา|มูรธา|ศิระ|ศิรามพุช|ศีรษะ|เศียร|สิระ|สิโรดม|สิโรตม์|สีสะ
ผม,n,เกศ|เกศธาตุ|เกศา|เกศี|เกส|เกสา|เกสี|ขนหัว|เผ้า|ศก|สก|เส้นพระเจ้า
เท้า,n,ตีน|บท|บทบงกช|บทมาลย์|บทเรศ|บทวเรศ|บทศรี|บทามพุช|บัวบาท|บาท|บาทบงกช|บาทา
ตา,n,จักขุ|จักษุ|ดวงตา|นยนะ|นยนา|นัยน์|นัยน์ตา|นัยน์เนตร|นัยนา|เนตร|ลูกตา
คิ้ว,n,ขนง|โขนง|เจิม|ภมุ|ภมุกะ|ภมุกา|ภรู|ภรูมณฑล
ปาก,n,มุลุต|ลปนะ|วทนะ|วัทน์|อานน|โอฐ|โอษฐ์
ฟัน,n,ทนต์|ทันต์|ฟาง|รท|รทนะ|กราม|เขี้ยว|ทาฐะ|ทาฒะ
ลิ้น,n,ชิวหา|มลิ้น|รสนา|อันด๊าก
ทองคำ,n,กนก|กัมพู|กาญจน์|กาญจนา|กำภู|คำ|จามีกร|จารุ|ชมพูนท|ชมพูนุท|ชัมพูนท|ชามพูนท|ชาตรูป|ตปนียะ|นพคุณ|มาศ|ไร|สิงคี|สุพรรณ|สุวรรณ|หาดก|หาตกะ|เหม|อุไร
เงิน,n,รชตะ|รัชดา|รัชฎา|ปรัก|หิรัญ|หิรัณย์
เพชร,n,มณิ|มณี|พัชร|พชระ|วิเชียร|วชิร|วชิระ|วัชระ
เรือ,n,ดารณี|ตูก|ตรณี|นาเวศ|นาวา|นาวี|เนา|เภตรา
ธง,n,เกตุ|ตุง|ธชะ|ธวัช|ธัช|ธุช|บรรดาก|ประดาก
หิน,n,กรวด|โขด|ถมอ|ปราษาณ|ปาษาณ|ปาสาณ|ผลา|ศิลา|สมอ|สิลา|เสลา
ขยะ,n,กระหยะ|กาก|กากขยาก|กุมฝอย|ของเสีย|คุมฝอย|เดน|มูลฝอย|สังการ|สิ่งปฏิกูล|หยากเยื่อ
แก่,adj,งอม|ชรา|เฒ่า|มีอายุ|สูงวัย|สูงอายุ|อาวุโส|หง่อม
กิน,v,เขมือบ|เจี๊ยะ|ฉัน|ซัด|โซ้ย|แดก|บริโภค|ฟาด|โภค|ยัด|รับประทาน|สวาปาม|เสพ|เสวย|หม่ำ|แอ้ม
นอน,v,งีบ|จำวัด|บรรทม|ประทม|ผทม|ไสยาสน์|เอนกาย|เอนตัว|เอนหลัง
ป่วย,v,เจ็บ|เจ็บไข้|เจ็บป่วย|ประชวร|ไม่สบาย|อาพาธ
ตาย,v,กระทำกาลกิริยา|กระทำกาละ|กลับบ้านเก่า|ขาดใจ|ชีวาลัย|ชีวิตักษัย|ซี้|ดับ|ดับขันธ์|ดับชีพ|ตักษัย|ถึงแก่กรรม|ถึงแก่พิราลัย|ถึงแก่มรณกรรม|ถึงแก่อนิจกรรม|ถึงแก่อสัญกรรม|ถึงชีพิตักษัย|ถึงซึ่งกาลกิริยา|ทิวงคต|ทำกาลกิริยา|ทำกาละ|เท่งทึง|นิคาลัย|ปรินิพพาน|ไปค้าถ่าน|พิราลัย|มรณภาพ|มรณะ|มลาย|ม้วย|ม้วยมอด|ม่องเท่ง|มอดม้วย|ล่วงลับ|ละสังขาร|ลาโลก|วางวาย|วายชนม์|วายชีวิต|วายปราณ|วายวาง|วายสังขาร|สวรรคต|สิ้น|สิ้นกรรม|สิ้นกรรมสิ้นเวร|สิ้นใจ|สิ้นชีพ|สิ้นชีพตักษัย|สิ้นชีวิต|สิ้นชื่อ|สิ้นบุญ|สิ้นพระชนม์|สิ้นลม|สิ้นลมปราณ|สิ้นเวร|สิ้นเวรสิ้นกรรม|สิ้นสังขาร|สิ้นอายุขัย|เสีย|เสียชีวิต|หมดกรรม|หมดกรรมหมดเวร|หมดบุญ|หมดลม|หมดเวร|หมดเวรหมดกรรม|อาสัญ
ฆ่า,v,เข่นฆ่า|คร่าชีวิต|ฆ่าแกง|ฆ่าฟัน|เด็ดหัว|ประหัต|ประหัตประหาร|ประหาร|ปลิดชีพ|ผลง|พิฆาต|มล้าง|วัชฌ์|วิฆาต|สังหาร|หตะ|อภิฆาต|เอาชีวิต
ทำลาย,v,กรุน|กวาดล้าง|กำจัด|ขจัด|ถอนต้นก่นราก|ถอนยวง|ถอนรากถอนโคน|พร่า|พัง|ผลาญ|มล้าง|ม้าง|ล้างผลาญ|หตะ|อภิฆาต
สงคราม,n,จำบัง|ฉุป|ณรงค์|ยุทธ์|ยุทธนา|รณรงค์|ศึก|สมร
สนามรบ,n,ยุทธภูมิ|รงค์|รณเกษตร|รณภู|รณภูมิ|รณรงค์|รณสถาน|สมรภูมิ|อชิระ
พยายาม,v,ทุ่มเท|บากบั่น|พากเพียร|เพียร|มานะ|มุ|มุมานะ|อุตส่าห์|อุตสาหะ
สร้าง,v,ก่อ|ทำ|นฤมิต|นิมิต|นิรมิต|เนรมิต|บพิธ|ประดิษฐ์|ผลิต|รังสรรค์|รังสฤษฏ์|สถาบก|สรรค์|สรรค์สร้าง|สร้างสรรค์
เกิด,v,กำเนิด|ชาตะ|ตกฟาก|ถือกำเนิด|ทรงพระราชสมภพ|ประสูติ|เสวยพระชาติ|สูนะ|อุบัติ
